event,series,matchNumber,scoreRedFinal,scoreBlueFinal,redTeams,blueTeams,label
South Australia Qualifier,0,1,9,58,"[19377, 25398]","[32920, 18611]",0
South Australia Qualifier,0,2,17,112,"[19584, 32919]","[22407, 15215]",0
South Australia Qualifier,0,3,53,62,"[31041, 15210]","[24736, 30781]",0
South Australia Qualifier,0,4,73,62,"[19584, 22407]","[25398, 18611]",1
South Australia Qualifier,0,5,47,25,"[15210, 32920]","[32919, 31041]",1
South Australia Qualifier,0,6,68,98,"[30781, 19377]","[15215, 24736]",0
South Australia Qualifier,0,7,74,45,"[32919, 15210]","[19584, 25398]",1
South Australia Qualifier,0,8,29,100,"[31041, 22407]","[19377, 15215]",0
South Australia Qualifier,0,9,51,74,"[18611, 24736]","[30781, 32920]",0
South Australia Qualifier,0,10,23,53,"[22407, 19377]","[19584, 15210]",0
South Australia Qualifier,0,11,86,53,"[30781, 15215]","[25398, 32920]",1
South Australia Qualifier,0,12,123,35,"[24736, 31041]","[18611, 32919]",1
South Australia Qualifier,0,13,78,135,"[22407, 32920]","[30781, 19584]",0
South Australia Qualifier,0,14,206,50,"[15215, 18611]","[24736, 15210]",1
South Australia Qualifier,0,15,102,14,"[25398, 32919]","[31041, 19377]",1
South Australia Qualifier,0,16,121,59,"[32920, 15215]","[15210, 22407]",1
South Australia Qualifier,0,17,74,13,"[18611, 30781]","[32919, 19377]",1
South Australia Qualifier,0,18,65,93,"[19584, 24736]","[25398, 31041]",0
South Australia Qualifier,1,1,110,58,"[15215, 30781]","[19584, 18611]",1
South Australia Qualifier,2,1,67,54,"[32920, 15210]","[24736, 22407]",1
South Australia Qualifier,3,1,75,71,"[18611, 19584]","[24736, 22407]",1
South Australia Qualifier,4,1,122,71,"[30781, 15215]","[15210, 32920]",1
South Australia Qualifier,5,1,141,71,"[32920, 15210]","[19584, 18611]",1
South Australia Qualifier,6,1,123,54,"[15215, 30781]","[32920, 15210]",1
Brisbane North Qualifier,0,1,156,123,"[14380, 30781]","[18439, 23454]",1
Brisbane North Qualifier,0,2,68,72,"[30405, 14385]","[26000, 11506]",0
Brisbane North Qualifier,0,3,52,13,"[25614, 11505]","[11322, 11323]",1
Brisbane North Qualifier,0,4,71,36,"[18228, 19450]","[23173, 12993]",1
Brisbane North Qualifier,0,5,123,110,"[23454, 26000]","[11505, 14579]",1
Brisbane North Qualifier,0,6,60,97,"[11322, 23173]","[11506, 14380]",0
Brisbane North Qualifier,0,7,80,61,"[11323, 14579]","[18228, 14385]",1
Brisbane North Qualifier,0,8,68,81,"[12993, 25614]","[30781, 30405]",0
Brisbane North Qualifier,0,9,21,93,"[14385, 18439]","[19450, 26000]",0
Brisbane North Qualifier,0,1,64,53,"[30781, 25614]","[14579, 14385]",1
Brisbane North Qualifier,0,2,100,56,"[14380, 26000]","[23173, 11505]",1
Brisbane North Qualifier,0,3,92,88,"[30405, 23454]","[18228, 11322]",1
Brisbane North Qualifier,0,4,31,39,"[18439, 11323]","[12993, 19450]",0
Brisbane North Qualifier,0,5,41,111,"[11506, 30405]","[11505, 14380]",0
Brisbane North Qualifier,0,6,80,52,"[18439, 18228]","[14579, 25614]",1
Brisbane North Qualifier,0,7,54,25,"[14385, 12993]","[23173, 23454]",1
Brisbane North Qualifier,0,8,218,50,"[11323, 30781]","[11506, 11322]",1
Brisbane North Qualifier,0,9,114,64,"[26000, 23173]","[14579, 19450]",1
Brisbane North Qualifier,0,10,69,97,"[12993, 30405]","[11506, 30781]",0
Brisbane North Qualifier,0,11,30,120,"[14385, 11323]","[18228, 26000]",0
Brisbane North Qualifier,0,12,54,66,"[11505, 19450]","[25614, 23454]",0
Brisbane North Qualifier,0,13,171,26,"[11322, 14380]","[14385, 18439]",1
Brisbane North Qualifier,0,14,224,81,"[26000, 25614]","[11506, 23454]",1
Brisbane North Qualifier,0,15,32,112,"[23173, 18439]","[11323, 30405]",0
Brisbane North Qualifier,0,16,90,139,"[18228, 30781]","[19450, 14380]",0
Brisbane North Qualifier,0,17,29,68,"[14579, 11505]","[11322, 12993]",0
Brisbane North Qualifier,0,18,51,52,"[18439, 19450]","[11506, 14385]",0
Brisbane North Qualifier,0,19,37,132,"[23454, 14579]","[11323, 14380]",0
Brisbane North Qualifier,0,20,36,70,"[11322, 23173]","[25614, 18228]",0
Brisbane North Qualifier,0,21,99,166,"[30781, 12993]","[26000, 30405]",0
Brisbane North Qualifier,0,22,19,123,"[11505, 11506]","[18228, 23173]",0
Brisbane North Qualifier,0,23,157,123,"[11322, 30405]","[19450, 26000]",1
Brisbane North Qualifier,0,24,38,90,"[11505, 23454]","[30781, 18439]",0
Brisbane North Qualifier,0,25,166,18,"[14380, 25614]","[11323, 12993]",1
Brisbane North Qualifier,0,26,107,118,"[14579, 11506]","[30405, 14385]",0
Brisbane North Qualifier,1,1,174,108,"[14380, 18228]","[19450, 30781]",1
Brisbane North Qualifier,2,1,112,72,"[26000, 25614]","[30405, 11506]",1
Brisbane North Qualifier,3,1,89,93,"[19450, 30781]","[30405, 11506]",0
Brisbane North Qualifier,4,1,149,144,"[14380, 18228]","[25614, 26000]",1
Brisbane North Qualifier,5,1,103,94,"[26000, 25614]","[11506, 30405]",1
Brisbane North Qualifier,6,1,155,158,"[14380, 18228]","[26000, 25614]",0
Brisbane North Qualifier,7,1,154,107,"[14380, 18228]","[25614, 26000]",1
Brisbane South Qualifier,0,1,76,96,"[30070, 23332]","[18187, 31784]",0
Brisbane South Qualifier,0,2,60,43,"[14466, 11505]","[12993, 25827]",1
Brisbane South Qualifier,0,3,126,28,"[23334, 19450]","[23333, 14579]",1
Brisbane South Qualifier,0,4,41,228,"[27373, 17556]","[24089, 32323]",0
Brisbane South Qualifier,0,5,108,77,"[31534, 11506]","[13626, 26716]",1
Brisbane South Qualifier,0,6,114,62,"[32323, 30405]","[14340, 26085]",1
Brisbane South Qualifier,0,7,113,89,"[24089, 23333]","[11506, 12993]",1
Brisbane South Qualifier,0,8,53,76,"[14340, 25827]","[30070, 13626]",0
Brisbane South Qualifier,0,9,44,126,"[31784, 14466]","[19450, 30405]",0
Brisbane South Qualifier,0,10,122,54,"[26085, 23334]","[11505, 18187]",1
Brisbane South Qualifier,0,11,81,91,"[14579, 26716]","[23332, 27373]",0
