number,tot_value,tot_rank,auto_value,auto_rank,teleop_value,teleop_rank,endgame_value,endgame_rank
3491,33.55919615552643,2147,9.689211263892956,1776,28.24978156400175,1973,9.34111133754501,686
10517,22.053865888383026,3418,5.0411055499836035,3125,17.791604028220707,3464,5.415274503854709,3823
11143,63.675355096480395,587,16.019128888357756,859,47.656226208122604,538,7.742132472901517,1623
11144,51.0174672588977,986,15.421570446457928,899,40.3379624305038,864,7.636985749474806,1705
11145,20.478129486098794,3612,5.384818230864177,2989,15.093311255234607,3928,6.793942848769071,2436
11146,76.71375975541167,342,26.78091328391883,323,51.971124331688124,399,9.406384037212181,663
11147,33.61594270106116,2139,0.053485462211838364,5267,33.56245723884934,1393,6.497006395673308,2725
11148,88.26786795821994,207,21.23726302213351,530,67.03060493608642,150,6.333293197950417,2919
11258,31.449542478957017,2364,7.381677504219842,2337,27.68346982721311,2058,6.999899952878343,2224
11322,27.03203630795418,2831,6.348460920139427,2665,20.683575387814752,3040,8.00917072794076,1422
11323,13.926424263703165,4541,2.652757433673197,4219,11.273666830029963,4578,4.686862107254322,4412
11505,29.111085473497003,2592,3.1569147341306856,3976,26.317114619066686,2246,8.525060993777306,1079
11506,31.958469975852413,2312,10.31653186655371,1662,21.657476415243107,2874,10.90623358852972,278
11511,107.66570840003149,82,35.57377310002365,97,72.09193530000788,118,12.066548628480318,124
12554,14.87599374875235,4397,10.303403182164404,1666,12.986159336029163,4286,9.493278803159527,630
12993,17.8494116974049,3983,6.045574765515633,2781,11.803836931889267,4522,6.571613429392236,2669
13626,29.448836598192116,2552,-1.8366078737087983,5602,31.285444471900924,1620,13.02837847112187,85
14339,4.826715070827522,5488,0.22181022284532959,5226,4.604904847982189,5440,5.279405346684987,3948
14340,18.549219184508345,3864,3.4154289615549196,3866,15.133790222953433,3922,4.938351165906694,4226
14380,82.72414219393359,267,22.068513106655573,493,60.655629087278,224,14.446505521268698,38
14385,12.586829441082399,4725,2.8767351571263995,4099,9.710094283956,4822,5.538148836299596,3703
14466,10.386070354009943,4990,-0.5184769951932733,5432,10.904547349203224,4648,3.6777300019268915,5013
14579,20.513288269052932,3604,9.492073832380969,1814,12.569302261141344,4357,6.678230489319235,2558
15144,27.918256023293477,2727,8.785071696644124,1979,19.13318432664935,3259,6.820190048177943,2407
15210,32.939807213570795,2220,6.4115490990303625,2645,28.382617503645978,1959,8.54659638310583,1064
15215,72.08290471788693,410,19.071662768378285,648,53.011241949508666,371,7.668995503624479,1684
15297,59.47614500073161,710,21.184357068747712,545,38.29178793198388,1016,6.569005376627483,2673
17556,23.443975882507118,3243,6.40829557021647,2647,17.035680312290644,3564,8.157696100258129,1306
18187,10.831455335725094,4943,1.9905005626160066,4547,8.84095477310909,4959,4.146745064003266,4768
18228,49.3607744275712,1057,13.396579289714449,1130,35.964195137856784,1182,8.878138520543054,882
18306,57.55231481674178,760,27.136161819300156,307,43.407488601035816,695,15.157178486738477,22
18359,49.745775527431285,1050,15.42492035072437,898,34.32085517670694,1314,7.874830185815788,1531
18360,98.17253638411225,124,35.68584966233547,92,62.48668672177679,207,11.890568159558779,138
18362,26.600640738728682,2877,3.0156867388417083,4032,23.58495399988697,2583,5.783647153144422,3470
18363,62.02532761048266,626,18.40147525009043,684,48.42189396326475,503,6.217162701054741,3044
18439,6.299908522415514,5388,0.8400286992489093,5021,5.459879823166603,5366,1.8460624170263302,5510
18611,27.441921183607104,2783,4.02402330656323,3579,23.417897877043867,2605,5.833420094376309,3415
19093,3.4301158301157995,5567,7.225096525096519,2407,-3.794980694980718,5707,-0.47683397683397655,5700
19218,12.262337202704312,4770,3.924214659531868,3624,8.338122543172444,5029,4.20644404633309,4735
19296,58.49313443815576,726,26.13150535449314,348,39.45053198326157,915,4.145537975441878,4770
19341,12.783170546580237,4694,3.9827524216018904,3598,12.420924293974187,4382,5.696440388933741,3555
19377,6.627297894092316,5360,-3.9701576312327536,5684,10.597455525325078,4694,4.371516638956514,4635
19450,46.763659171532765,1205,13.23537612911559,1157,33.52828304241718,1402,9.036507774817006,795
19584,22.00860897164696,3421,4.280091684040083,3458,17.72851728760688,3474,6.456550328523159,2766
19745,150.21877528820485,4,50.388437459952186,3,99.83033782825267,7,10.505312882737776,347
21472,4.449473407161483,5506,-0.08591878054133106,5336,4.535392187702813,5442,5.416378195456385,3822
21520,38.1405033633139,1739,14.254009787208807,1015,23.886493576105106,2550,5.932171689992987,3320
21612,41.020227546735775,1552,23.963987824920622,441,17.05623972181515,3581,3.659480059133772,5047
21657,8.151664571076978,5246,-0.4407848158848683,5404,8.592449386961851,5000,7.151939655493168,2089
21803,17.862558801100704,3980,3.0804603986029084,4033,14.782098402497793,4005,1.7715998080021114,5546
22407,25.949459102598638,2965,5.121616227379052,3091,20.827842875219595,3013,8.117442360728697,1339
22975,34.047873230143836,2120,7.2243983331004875,2409,26.823474897043347,2188,5.252651848077525,3990
23173,14.360948262781626,4479,7.176408673620173,2414,7.184539589161449,5170,4.006777781901718,4852
23300,39.38465783876089,1658,8.509334208112405,2032,30.875323630648463,1667,6.571178696675464,2655
23332,20.062665237905854,3655,4.690327494335732,3280,15.37233774357012,3873,5.967433459123024,3283
23333,16.36539448286467,4180,2.1432993083503513,4480,14.22209517451431,4085,8.652063347590211,1001
23334,47.26484897088396,1177,16.028245732760052,857,31.236603238123898,1627,8.761537179156962,945
23369,28.176657895246926,2698,8.157991014102024,2129,23.071591529031082,2660,9.671157031153058,564
23454,12.957741293128574,4674,-2.2068651553306324,5634,15.16460644845922,3916,5.2875526592531825,3936
23636,79.62519187853391,306,22.449893987069558,484,64.468705875537,184,7.94815617174769,1475
23771,17.5741253204428,4012,3.8445568572966713,3659,13.729568463146116,4175,3.8942635651116433,4919
23875,39.158899302279195,1673,10.616126738350722,1599,36.868678879719724,1091,6.9533612922563135,2277
24089,83.65483146088002,256,29.640168106976265,219,56.899608381406814,287,11.571886140863079,181
